id_biblioteca,nombre_biblioteca,id_depto,año_fundacion,dominio_email
938,Comité Cultural y Biblioteca Juan Francisco Ibarra,6854,1922.0,
200,Bib.Pop. Anastasio Prieto,6588,1980.0,
1850,Bib.Pop. José Ingenieros,6588,1933.0,
88,Bib.Pop. Adolfo Alsina,6007,1912.0,
1278,Bib.Pop. José Ingenieros,6007,1925.0,hotmail
1062,Bib.Pub. Bernardino Rivadavia,6014,1925.0,yahoo
2170,Bib.Pop. Dr. Victor H. Barrera,6014,1942.0,hotmail
1554,Bib.Pop. Andrés Vaccarezza,6021,1925.0,hotmail
90,Amigos de la Biblioteca Esteban Adrogué,6028,1918.0,
4001,Bib. Pop. La Margarita blanca,6028,1999.0,
3792,Bib.Pop. Mahatma Gandhi,6028,1980.0,tutopia
2870,Bib.Pop. Pablo Rojas Paz,6028,1969.0,gmail
3952,Bib.Pop. Manuel Belgrano del Barrio de Villa París,6028,1998.0,yahoo
4260,Bib.Pop. Fray Luis Beltrán,6028,2007.0,yahoo
2982,Bib.Pop.Soc.Fom. Martín Fierro,6028,1956.0,yahoo
3841,Bib. Pop. Atahualpa Yupanqui,6028,1999.0,gmail
3950,Bib.Pop. Gabriela Mistral,6427,1980.0,
2296,Bib.Pop. Bartolomé Mitre,6035,1932.0,yahoo
2543,Bib.Pop. José Mármol,6035,1940.0,yahoo
3063,Bib.Pop. Dr. Estanislao S. Zeballos,6035,2001.0,gmail
3561,Bib.Pop. Alfredo Palacios,6035,1996.0,yahoo
3824,Bib.Pub.Mun.Pop. de Avellaneda,6035,1919.0,hotmail
4136,Bib.Pop. Maestro Alfredo Bravo,6035,1980.0,yahoo
3908,Bib.Pop. Dock Sud,6035,1998.0,gmail
252,Bib.Pop. Juan Bautista Alberdi,6035,1918.0,hotmail
4086,Bib.Pop. Enrique del Valle Iberlucea,6035,2002.0,
217,Bib.Pop. Veladas de estudio después del trabajo,6035,1921.0,
3719,Bib.Pop. Presidente Avellaneda,6035,1987.0,yahoo
4192,Soc. Fom. y Cul. y Bib.Pop. Domingo Faustino Sarmiento,6035,1980.0,yahoo
3051,Soc.Fom. U. de Dom. y Bib.Pop. Nicolás Avellaneda,6035,1985.0,yahoo
911,Bib.Pop. Juan M. de Pueyrredón,6035,1922.0,
4265,Bib. Pop. Oscar Smith,6035,2008.0,yahoo
3193,Bib.Pub.Mun. Manuel Vilardaga,6042,,
83,Bib.Pop. Bartolomé J. Ronco,6049,,bibliotecaronco
111,Bib.Pop. Almafuerte,6049,1918.0,
2068,Bib.Pop. Asoc.Cult. de Chillar,6049,1939.0,yahoo
100,Bib.Pop. Bernardino Rivadavia,6056,,abrbp
1663,Bib.Pop. Bartolomé Mitre,6056,1922.0,yahoo
2790,Bib.Pop. Roberto Payro,6056,1960.0,
3392,Bib.Pop. Pajarita de papel,6056,1980.0,
3587,Bib.Pop. Eduardo Mallea,6056,1980.0,yahoo
3795,Bib.Pop. Don Germán García,6056,1996.0,yahoo
3929,Bib.Pop. Rosario Sur,6056,2000.0,yahoo
4022,Bib. Pop. Gabriela Mistral,6056,1996.0,yahoo
4137,Bib.Pop. Simón Rodriguez,6056,1980.0,gmail
4155,Bib. Pop. Villa Duprat,6056,1980.0,gmail
