id_depto,nombre_depto,provincia
02104,Comuna 4,Ciudad de Buenos Aires
02113,Comuna 13,Ciudad de Buenos Aires
02109,Comuna 9,Ciudad de Buenos Aires
02101,Comuna 1,Ciudad de Buenos Aires
02111,Comuna 11,Ciudad de Buenos Aires
02103,Comuna 3,Ciudad de Buenos Aires
02105,Comuna 5,Ciudad de Buenos Aires
02110,Comuna 10,Ciudad de Buenos Aires
02102,Comuna 2,Ciudad de Buenos Aires
02107,Comuna 7,Ciudad de Buenos Aires
02115,Comuna 15,Ciudad de Buenos Aires
02114,Comuna 14,Ciudad de Buenos Aires
02112,Comuna 12,Ciudad de Buenos Aires
02108,Comuna 8,Ciudad de Buenos Aires
02106,Comuna 6,Ciudad de Buenos Aires
06049,AZUL,Buenos Aires
06427,LA MATANZA,Buenos Aires
06568,MORON,Buenos Aires
06408,HURLINGHAM,Buenos Aires
06854,25 DE MAYO,Buenos Aires
06497,LUJAN,Buenos Aires
06413,JUNIN,Buenos Aires
06410,ITUZAINGO,Buenos Aires
06357,GENERAL PUEYRREDON,Buenos Aires
06476,LOBERIA,Buenos Aires
06760,SAN MIGUEL,Buenos Aires
06778,SAN VICENTE,Buenos Aires
06412,JOSE C. PAZ,Buenos Aires
06218,CHASCOMUS,Buenos Aires
06770,SAN PEDRO,Buenos Aires
06791,TANDIL,Buenos Aires
06882,ZARATE,Buenos Aires
06840,TRES DE FEBRERO,Buenos Aires
06371,GENERAL SAN MARTIN,Buenos Aires
06126,CAMPANA,Buenos Aires
06515,MALVINAS ARGENTINAS,Buenos Aires
06351,GENERAL PINTO,Buenos Aires
06203,CORONEL SUAREZ,Buenos Aires
06602,PATAGONES,Buenos Aires
06700,SAAVEDRA,Buenos Aires
06833,TRES ARROYOS,Buenos Aires
06749,SAN FERNANDO,Buenos Aires
06322,GENERAL LA MADRID,Buenos Aires
06875,VILLARINO,Buenos Aires
06547,MONTE,Buenos Aires
06238,DOLORES,Buenos Aires
06063,BALCARCE,Buenos Aires
06560,MORENO,Buenos Aires
06826,TRENQUE LAUQUEN,Buenos Aires
06441,LA PLATA,Buenos Aires
06462,LEANDRO N. ALEM,Buenos Aires
06161,CARMEN DE ARECO,Buenos Aires
06735,SAN ANTONIO DE ARECO,Buenos Aires
06105,BOLIVAR,Buenos Aires
06154,CARLOS TEJEDOR,Buenos Aires
06315,GENERAL JUAN MADARIAGA,Buenos Aires
06196,CORONEL PRINGLES,Buenos Aires
06392,GENERAL VILLEGAS,Buenos Aires
06655,PUNTA INDIO,Buenos Aires
06505,MAGDALENA,Buenos Aires
06609,PEHUAJO,Buenos Aires
06385,GENERAL VIAMONTE,Buenos Aires
06134,CAÑUELAS,Buenos Aires
06084,BENITO JUAREZ,Buenos Aires
06112,BRAGADO,Buenos Aires
