id_depto,id_nivel,cantidad
2000,jardin_infante,57070
2000,jardin_maternal,88856
2000,primaria,222923
2000,secundaria,198352
2000,terciario,1375842
2105,jardin_infante,3662
2105,jardin_maternal,5726
2105,primaria,14068
2105,secundaria,12311
2105,terciario,96243
6007,jardin_infante,520
6007,jardin_maternal,772
6007,primaria,1697
6007,secundaria,1437
6007,terciario,7287
6014,jardin_infante,341
6014,jardin_maternal,609
6014,primaria,1401
6014,secundaria,1170
6014,terciario,5444
6021,jardin_infante,328
6021,jardin_maternal,576
6021,primaria,1378
6021,secundaria,1198
6021,terciario,5228
6028,jardin_infante,17241
6028,jardin_maternal,26521
6028,primaria,67913
6028,secundaria,58227
6028,terciario,270760
6035,jardin_infante,9037
6035,jardin_maternal,13747
6035,primaria,37082
6035,secundaria,32476
6035,terciario,166744
6042,jardin_infante,696
6042,jardin_maternal,1003
6042,primaria,2442
6042,secundaria,2150
6042,terciario,9325
6049,jardin_infante,2129
6049,jardin_maternal,3261
6049,primaria,8219
6049,secundaria,7066
6049,terciario,32375
6056,jardin_infante,8541
6056,jardin_maternal,14080
6056,primaria,33944
6056,secundaria,28746
6056,terciario,155751
6063,jardin_infante,1315
6063,jardin_maternal,2323
6063,primaria,5070
6063,secundaria,4268
6063,terciario,20977
6070,jardin_infante,1184
6070,jardin_maternal,2041
6070,primaria,4372
6070,secundaria,3818
6070,terciario,17645
6077,jardin_infante,965
6077,jardin_maternal,1679
6077,primaria,3542
6077,secundaria,2961
6077,terciario,14175
6084,jardin_infante,641
6084,jardin_maternal,967
6084,primaria,2277
6084,secundaria,2015
6084,terciario,8719
6091,jardin_infante,10173
6091,jardin_maternal,15633
6091,primaria,41462
6091,secundaria,35467
6091,terciario,166836
6098,jardin_infante,2907
6098,jardin_maternal,4797
6098,primaria,11779
6098,secundaria,9722
6098,terciario,46587
6105,jardin_infante,1030
6105,jardin_maternal,1800
6105,primaria,3857
6105,secundaria,3206
6105,terciario,15551
6112,jardin_infante,1274
6112,jardin_maternal,2086
6112,primaria,4807
6112,secundaria,4203
6112,terciario,19284
6119,jardin_infante,986
6119,jardin_maternal,1602
6119,primaria,3997
6119,secundaria,3510
6119,terciario,14574
6126,jardin_infante,3214
6126,jardin_maternal,4906
6126,primaria,12587
6126,secundaria,10846
6126,terciario,50255
6134,jardin_infante,2459
6134,jardin_maternal,3766
6134,primaria,9538
6134,secundaria,7497
6134,terciario,32885
6140,jardin_infante,423
6140,jardin_maternal,757
6140,primaria,1713
6140,secundaria,1441
6140,terciario,7269
6147,jardin_infante,669
6147,jardin_maternal,1062
6147,primaria,2491
6147,secundaria,2110
6147,terciario,9923
6154,jardin_infante,459
6154,jardin_maternal,648
6154,primaria,1557
6154,secundaria,1266
6154,terciario,5876
6161,jardin_infante,532
6161,jardin_maternal,911
6161,primaria,1927
6161,secundaria,1709
6161,terciario,7667
6168,jardin_infante,283
6168,jardin_maternal,477
6168,primaria,1013
6168,secundaria,904
6168,terciario,4285
6175,jardin_infante,728
6175,jardin_maternal,1286
6175,primaria,2851
6175,secundaria,2561
6175,terciario,12022
6182,jardin_infante,1810
6182,jardin_maternal,2895
6182,primaria,7353
6182,secundaria,6424
6182,terciario,29757
6189,jardin_infante,417
6189,jardin_maternal,714
6189,primaria,1609
6189,secundaria,1418
6189,terciario,6307
6196,jardin_infante,746
6196,jardin_maternal,1144
6196,primaria,2791
6196,secundaria,2166
6196,terciario,9673
6203,jardin_infante,1078
6203,jardin_maternal,1803
6203,primaria,4418
6203,secundaria,3537
6203,terciario,17717
6210,jardin_infante,1315
6210,jardin_maternal,2203
6210,primaria,5344
6210,secundaria,4811
6210,terciario,22960
6218,jardin_infante,1277
6218,jardin_maternal,1890
6218,primaria,4976
6218,secundaria,4223
6218,terciario,18682
6224,jardin_infante,1883
6224,jardin_maternal,3023
6224,primaria,7181
6224,secundaria,6479
6224,terciario,30588
6231,jardin_infante,558
6231,jardin_maternal,837
6231,primaria,1986
6231,secundaria,1828
6231,terciario,7790
6238,jardin_infante,930
6238,jardin_maternal,1639
6238,primaria,3369
6238,secundaria,2998
6238,terciario,13504
6245,jardin_infante,2006
6245,jardin_maternal,2911
6245,primaria,7776
6245,secundaria,6660
6245,terciario,29046
6252,jardin_infante,8408
6252,jardin_maternal,13492
6252,primaria,31983
6252,secundaria,25714
6252,terciario,121300
6260,jardin_infante,10576
6260,jardin_maternal,17094
6260,primaria,41112
6260,secundaria,34241
6260,terciario,160426
6266,jardin_infante,1300
6266,jardin_maternal,2124
