provincia,departamento,jardines,poblacion_jardin,primarias,poblacion_primaria,secundarios,poblacion_secundaria
Buenos Aires,LA MATANZA,333,59108.0,335,225872.0,336,181212.0
Buenos Aires,LA PLATA,218,19886.0,201,77998.0,211,67326.0
Buenos Aires,LOMAS DE ZAMORA,168,19589.0,179,76967.0,191,65257.0
Buenos Aires,GENERAL PUEYRREDON,177,15895.0,168,62565.0,173,57730.0
Buenos Aires,QUILMES,158,18414.0,145,70881.0,151,60085.0
Buenos Aires,MORENO,120,19407.0,138,76357.0,134,60359.0
Buenos Aires,ALMIRANTE BROWN,139,17241.0,137,67913.0,146,58227.0
Buenos Aires,MERLO,108,18543.0,120,71541.0,125,59718.0
Buenos Aires,LANUS,116,11148.0,117,44506.0,113,39855.0
Buenos Aires,PILAR,108,12657.0,112,49944.0,105,41528.0
Buenos Aires,TIGRE,120,12571.0,111,51961.0,107,45401.0
Buenos Aires,GENERAL SAN MARTIN,97,10861.0,98,44539.0,96,39634.0
Buenos Aires,FLORENCIO VARELA,98,16792.0,98,64455.0,102,52426.0
Buenos Aires,BAHIA BLANCA,94,8541.0,95,33944.0,81,28746.0
Buenos Aires,BERAZATEGUI,99,10173.0,94,41462.0,97,35467.0
Buenos Aires,AVELLANEDA,117,9037.0,91,37082.0,76,32476.0
Buenos Aires,SAN MIGUEL,84,9567.0,91,37035.0,97,30653.0
Buenos Aires,MORON,93,7179.0,91,28780.0,86,26584.0
Buenos Aires,SAN ISIDRO,91,6483.0,89,26323.0,88,25052.0
Buenos Aires,TRES DE FEBRERO,101,8387.0,87,33616.0,83,30170.0
Buenos Aires,MALVINAS ARGENTINAS,76,9982.0,81,40319.0,87,34959.0
Buenos Aires,ESCOBAR,81,8408.0,79,31983.0,78,25714.0
Buenos Aires,VICENTE LOPEZ,83,5762.0,75,22610.0,69,21312.0
Buenos Aires,OLAVARRIA,60,3371.0,74,13055.0,41,11526.0
Buenos Aires,ESTEBAN ECHEVERRIA,70,10576.0,71,41112.0,72,34241.0
Buenos Aires,JOSE C. PAZ,54,11227.0,63,42316.0,61,34014.0
Buenos Aires,TANDIL,57,3807.0,62,14723.0,41,12884.0
