provincia,departamento,cantEE,cantBP,poblacion_total
Buenos Aires,25 DE MAYO,120,1,24571.0
Buenos Aires,9 DE JULIO,115,2,36643.0
Buenos Aires,ADOLFO ALSINA,64,2,11713.0
Buenos Aires,ADOLFO GONZALES CHAVES,47,2,8965.0
Buenos Aires,ALBERTI,43,2,8708.0
Buenos Aires,ALMIRANTE BROWN,504,11,440662.0
Buenos Aires,ARRECIFES,63,1,23322.0
Buenos Aires,AVELLANEDA,367,15,259086.0
Buenos Aires,AYACUCHO,81,1,15616.0
Buenos Aires,AZUL,153,3,53050.0
Buenos Aires,BAHIA BLANCA,367,15,241062.0
Buenos Aires,BALCARCE,104,1,33953.0
Buenos Aires,BARADERO,95,3,29060.0
Buenos Aires,BENITO JUAREZ,50,1,14619.0
Buenos Aires,BERAZATEGUI,339,6,269571.0
Buenos Aires,BERISSO,108,7,75792.0
Buenos Aires,BOLIVAR,109,4,25444.0
Buenos Aires,BRAGADO,72,4,31654.0
Buenos Aires,BRANDSEN,74,3,24669.0
Buenos Aires,CAMPANA,163,1,81808.0
Buenos Aires,CAPITAN SARMIENTO,38,1,11603.0
Buenos Aires,CARLOS CASARES,72,3,16255.0
Buenos Aires,CARLOS TEJEDOR,60,2,9806.0
Buenos Aires,CARMEN DE ARECO,57,1,12746.0
Buenos Aires,CASTELLI,35,1,6962.0
Buenos Aires,CAÑUELAS,113,2,56145.0
Buenos Aires,CHACABUCO,107,2,36633.0
Buenos Aires,CHASCOMUS,99,0,31048.0
Buenos Aires,CHIVILCOY,127,1,49154.0
Buenos Aires,COLON,53,1,19448.0
Buenos Aires,CORONEL DE MARINA L ROSALES,92,4,48239.0
Buenos Aires,CORONEL DORREGO,60,3,10465.0
Buenos Aires,CORONEL PRINGLES,66,1,16520.0
Buenos Aires,CORONEL SUAREZ,109,3,28553.0
Buenos Aires,DAIREAUX,60,0,12999.0
Buenos Aires,DOLORES,56,1,22440.0
Buenos Aires,ENSENADA,76,5,48399.0
Buenos Aires,ESCOBAR,263,2,200897.0
Buenos Aires,ESTEBAN ECHEVERRIA,251,3,263449.0
Buenos Aires,EXALTACION DE LA CRUZ,63,0,30654.0
Buenos Aires,EZEIZA,178,2,160863.0
Buenos Aires,FLORENCIO VARELA,346,10,393194.0
Buenos Aires,FLORENTINO AMEGHINO,33,0,7783.0
Buenos Aires,GENERAL ALVARADO,85,2,32110.0
Buenos Aires,GENERAL ALVEAR,57,1,7348.0
Buenos Aires,GENERAL ARENALES,45,2,10919.0
Buenos Aires,GENERAL BELGRANO,48,0,14715.0
Buenos Aires,GENERAL GUIDO,27,1,2178.0
Buenos Aires,GENERAL JUAN MADARIAGA,69,1,16443.0
Buenos Aires,GENERAL LA MADRID,46,1,8065.0
Buenos Aires,GENERAL LAS HERAS,45,1,13462.0
Buenos Aires,GENERAL LAVALLE,29,1,3671.0
Buenos Aires,GENERAL PAZ,54,0,10321.0
Buenos Aires,GENERAL PINTO,41,4,9128.0
Buenos Aires,GENERAL PUEYRREDON,670,6,456091.0
Buenos Aires,GENERAL RODRIGUEZ,126,1,117805.0
Buenos Aires,GENERAL SAN MARTIN,370,14,316203.0
Buenos Aires,GENERAL VIAMONTE,51,2,15927.0
Buenos Aires,GENERAL VILLEGAS,93,5,25267.0
Buenos Aires,GUAMINI,59,5,7940.0
Buenos Aires,HIPOLITO YRIGOYEN,31,1,7247.0
Buenos Aires,HURLINGHAM,178,2,131570.0
Buenos Aires,ITUZAINGO,163,1,124223.0
Buenos Aires,JOSE C. PAZ,199,0,260135.0
Buenos Aires,JUNIN,163,8,71291.0
Buenos Aires,LA COSTA,96,6,70971.0
Buenos Aires,LA MATANZA,1201,16,1428891.0
Buenos Aires,LA PLATA,859,33,564073.0
Buenos Aires,LANUS,428,13,319981.0
Buenos Aires,LAPRIDA,43,1,8302.0
Buenos Aires,LAS FLORES,75,1,18632.0
Buenos Aires,LEANDRO N. ALEM,49,3,12182.0
Buenos Aires,LEZAMA,29,0,4410.0
Buenos Aires,LINCOLN,115,7,31364.0
Buenos Aires,LOBERIA,76,2,12457.0
Buenos Aires,LOBOS,94,4,29875.0
Buenos Aires,LOMAS DE ZAMORA,661,12,508905.0
Buenos Aires,LUJAN,166,5,81491.0
Buenos Aires,MAGDALENA,75,1,17314.0
Buenos Aires,MAIPU,37,1,7879.0
Buenos Aires,MALVINAS ARGENTINAS,255,5,266451.0
Buenos Aires,MAR CHIQUITA,75,1,23646.0
Buenos Aires,MARCOS PAZ,86,1,51796.0
Buenos Aires,MERCEDES,141,1,51728.0
Buenos Aires,MERLO,428,4,450072.0
Buenos Aires,MONTE,55,2,18246.0
Buenos Aires,MONTE HERMOSO,21,1,6027.0
Buenos Aires,MORENO,439,16,461896.0
Buenos Aires,MORON,357,2,221610.0
Buenos Aires,NAVARRO,70,2,14614.0
Buenos Aires,NECOCHEA,161,5,69885.0
Buenos Aires,OLAVARRIA,225,11,86701.0
Buenos Aires,PATAGONES,95,1,27561.0
